"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","Analyte","Site"
"666","USGS","0134277114",2016-12-06,"11:55",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-12-06 11:55:00,"SO4","Treated"
"667","USGS","0134277114",2016-12-06,"11:56",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.98,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-12-06 11:56:00,"SO4","Treated"
"668","USGS","0134277114",2016-12-06,"11:57",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-12-06 11:57:00,"SO4","Treated"
"669","USGS","0134277114",2017-03-09,"12:01",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.25,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-03-09 12:01:00,"SO4","Treated"
"670","USGS","0134277114",2017-03-09,"12:02",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.24,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-03-09 12:02:00,"SO4","Treated"
"671","USGS","0134277114",2017-03-09,"12:03",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.22,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-03-09 12:03:00,"SO4","Treated"
"672","USGS","0134277114",2017-04-13,"11:20",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.92,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-04-13 11:20:00,"SO4","Treated"
"673","USGS","0134277114",2017-05-11,"10:10",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.26,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-05-11 10:10:00,"SO4","Treated"
"674","USGS","0134277114",2017-06-06,"16:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.46,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-06-06 16:25:00,"SO4","Treated"
"675","USGS","0134277114",2017-06-07,"06:05",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-06-07 06:05:00,"SO4","Treated"
"676","USGS","0134277114",2017-06-28,"09:20",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.54,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-06-28 09:20:00,"SO4","Treated"
"677","USGS","0134277114",2017-07-12,"09:20",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.8,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-07-12 09:20:00,"SO4","Treated"
"678","USGS","0134277114",2017-07-12,"09:21",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.8,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-07-12 09:21:00,"SO4","Treated"
"679","USGS","0134277114",2017-07-12,"09:22",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-07-12 09:22:00,"SO4","Treated"
"680","USGS","0134277114",2017-07-18,"04:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.89,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-07-18 04:25:00,"SO4","Treated"
"681","USGS","0134277114",2017-08-11,"09:45",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.81,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-08-11 09:45:00,"SO4","Treated"
"682","USGS","0134277114",2017-09-21,"10:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.77,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-09-21 10:15:00,"SO4","Treated"
"683","USGS","0134277114",2017-10-05,"06:40",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.4,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-05 06:40:00,"SO4","Treated"
"684","USGS","0134277114",2017-10-30,"00:01",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.82,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-30 00:01:00,"SO4","Treated"
"685","USGS","0134277114",2017-10-30,"03:55",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.34,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-30 03:55:00,"SO4","Treated"
"686","USGS","0134277114",2017-10-31,"10:50",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,1.91,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-31 10:50:00,"SO4","Treated"
"687","USGS","0134277114",2017-10-31,"10:51",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,1.95,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-31 10:51:00,"SO4","Treated"
"688","USGS","0134277114",2017-10-31,"10:52",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,1.91,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-10-31 10:52:00,"SO4","Treated"
"689","USGS","0134277114",2017-11-02,"10:05",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.65,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-11-02 10:05:00,"SO4","Treated"
"690","USGS","0134277114",2017-11-15,"11:07",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.76,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2017-11-15 11:07:00,"SO4","Treated"
"691","USGS","0134277114",2018-01-18,"13:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.51,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-01-18 13:00:00,"SO4","Treated"
"692","USGS","0134277114",2018-02-20,"16:27",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.86,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-02-20 16:27:00,"SO4","Treated"
"693","USGS","0134277114",2018-03-15,"12:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.68,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-03-15 12:25:00,"SO4","Treated"
"694","USGS","0134277114",2018-03-15,"12:26",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-03-15 12:26:00,"SO4","Treated"
"695","USGS","0134277114",2018-03-15,"12:27",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-03-15 12:27:00,"SO4","Treated"
"696","USGS","0134277114",2018-04-10,"12:15",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.48,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-04-10 12:15:00,"SO4","Treated"
"697","USGS","0134277114",2018-04-16,"20:50",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.81,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-04-16 20:50:00,"SO4","Treated"
"698","USGS","0134277114",2018-04-25,"16:05",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,1.74,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-04-25 16:05:00,"SO4","Treated"
"699","USGS","0134277114",2018-05-01,"15:25",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.11,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-05-01 15:25:00,"SO4","Treated"
"700","USGS","0134277114",2018-05-23,"10:50",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.01,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-05-23 10:50:00,"SO4","Treated"
"701","USGS","0134277114",2018-06-19,"11:00",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.79,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-06-19 11:00:00,"SO4","Treated"
"702","USGS","0134277114",2018-06-19,"11:01",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.78,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-06-19 11:01:00,"SO4","Treated"
"703","USGS","0134277114",2018-06-19,"11:02",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.81,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-06-19 11:02:00,"SO4","Treated"
"704","USGS","0134277114",2018-07-30,"07:35",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.64,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-07-30 07:35:00,"SO4","Treated"
"705","USGS","0134277114",2018-07-30,"07:36",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.62,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-07-30 07:36:00,"SO4","Treated"
"706","USGS","0134277114",2018-07-30,"07:37",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.67,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2018-07-30 07:37:00,"SO4","Treated"
